Cl.Ord.ID,Instrument,Side,Quantity,Price
aa0,Rose,2,70,624
aa1,Rose,1,890,197
aa2,Rose,2,570,305
aa3,Rose,2,110,670
aa4,Rose,2,870,998
aa5,Rose,2,280,635
aa6,Rose,1,580,24
aa7,Rose,1,780,575
aa8,Rose,1,240,674
aa9,Rose,1,310,472
aa10,Rose,1,510,431
aa11,Rose,1,750,237
aa12,Rose,2,950,635
aa13,Rose,2,890,213
aa14,Rose,1,310,901
aa15,Rose,1,1000,864
aa16,Rose,1,910,124
aa17,Rose,1,830,933
aa18,Rose,1,250,696
aa19,Rose,2,820,519
aa20,Rose,2,740,607
aa21,Rose,1,580,155
aa22,Rose,1,870,897
aa23,Rose,1,350,416
aa24,Rose,1,230,600
aa25,Rose,1,720,28
aa26,Rose,2,930,166
aa27,Rose,2,510,719
aa28,Rose,2,660,557
aa29,Rose,2,190,999
aa30,Rose,2,950,97
aa31,Rose,1,650,639
aa32,Rose,2,160,478
aa33,Rose,2,540,830
aa34,Rose,2,910,909
aa35,Rose,2,440,311
aa36,Rose,1,610,916
aa37,Rose,2,140,491
aa38,Rose,1,510,996
aa39,Rose,2,990,302
aa40,Rose,1,870,217
aa41,Rose,2,70,611
aa42,Rose,2,160,647
aa43,Rose,2,770,934
aa44,Rose,1,20,945
aa45,Rose,2,320,722
aa46,Rose,1,30,575
aa47,Rose,2,250,190
aa48,Rose,2,480,656
aa49,Rose,2,110,88
aa50,Rose,1,900,572
aa51,Rose,2,550,426
aa52,Rose,2,810,669
aa53,Rose,1,930,169
aa54,Rose,1,1000,902
aa55,Rose,2,220,821
aa56,Rose,1,160,601
aa57,Rose,1,10,673
aa58,Rose,1,730,555
aa59,Rose,2,770,943
aa60,Rose,2,110,474
aa61,Rose,1,60,60
aa62,Rose,2,670,378
aa63,Rose,2,970,737
aa64,Rose,1,480,249
aa65,Rose,2,980,54
aa66,Rose,1,90,489
aa67,Rose,1,620,275
aa68,Rose,2,880,559
aa69,Rose,2,710,696
aa70,Rose,1,400,995
aa71,Rose,1,20,264
aa72,Rose,1,610,173
aa73,Rose,2,660,480
aa74,Rose,2,340,532
aa75,Rose,2,130,62
aa76,Rose,2,140,977
aa77,Rose,1,540,58
aa78,Rose,2,950,853
aa79,Rose,1,550,1
aa80,Rose,1,30,753
aa81,Rose,1,380,442
aa82,Rose,1,460,690
aa83,Rose,1,920,790
aa84,Rose,2,510,535
aa85,Rose,2,320,612
aa86,Rose,2,290,892
aa87,Rose,1,350,509
aa88,Rose,2,730,435
aa89,Rose,2,260,340
aa90,Rose,2,850,114
aa91,Rose,2,320,51
aa92,Rose,1,140,925
aa93,Rose,2,200,785
aa94,Rose,1,710,528
aa95,Rose,2,240,727
aa96,Rose,2,690,835
aa97,Rose,1,220,374
aa98,Rose,2,230,53
aa99,Rose,2,140,585
aa100,Rose,1,390,626
aa101,Rose,2,220,192
aa102,Rose,1,760,442
aa103,Rose,1,320,218
aa104,Rose,2,310,34
aa105,Rose,1,700,409
aa106,Rose,2,870,927
aa107,Rose,2,140,804
aa108,Rose,1,570,425
aa109,Rose,1,260,63
aa110,Rose,1,750,485
aa111,Rose,2,480,763
aa112,Rose,2,220,442
aa113,Rose,2,910,670
aa114,Rose,1,50,590
aa115,Rose,2,480,633
aa116,Rose,2,880,441
aa117,Rose,1,550,497
aa118,Rose,2,420,508
aa119,Rose,2,30,788
aa120,Rose,1,330,116
aa121,Rose,2,340,591
aa122,Rose,1,420,778
aa123,Rose,2,530,803
aa124,Rose,2,870,525
aa125,Rose,1,710,650
aa126,Rose,2,480,311
aa127,Rose,1,120,164
aa128,Rose,1,320,779
aa129,Rose,2,970,613
aa130,Rose,2,250,476
aa131,Rose,2,760,823
aa132,Rose,2,540,443
aa133,Rose,2,980,941
aa134,Rose,1,960,235
aa135,Rose,2,800,831
aa136,Rose,1,950,488
aa137,Rose,2,920,301
aa138,Rose,2,180,594
aa139,Rose,2,880,141
aa140,Rose,1,880,369
aa141,Rose,1,690,314
aa142,Rose,2,170,729
aa143,Rose,1,920,949
aa144,Rose,2,360,122
aa145,Rose,1,360,582
aa146,Rose,1,460,244
aa147,Rose,2,990,568
aa148,Rose,1,860,628
aa149,Rose,2,400,469
aa150,Rose,2,930,166
aa151,Rose,1,530,404
aa152,Rose,1,510,371
aa153,Rose,1,760,418
aa154,Rose,1,140,539
aa155,Rose,2,430,219
aa156,Rose,2,790,463
aa157,Rose,2,220,42
aa158,Rose,2,690,193
aa159,Rose,1,60,824
aa160,Rose,2,840,630
aa161,Rose,2,970,989
aa162,Rose,1,410,595
aa163,Rose,1,160,825
aa164,Rose,2,580,223
aa165,Rose,2,830,23
aa166,Rose,1,840,936
aa167,Rose,2,360,154
aa168,Rose,2,640,685
aa169,Rose,2,480,268
aa170,Rose,2,600,221
aa171,Rose,2,760,315
aa172,Rose,2,90,283
aa173,Rose,1,670,346
aa174,Rose,1,910,213
aa175,Rose,1,210,878
aa176,Rose,2,950,198
aa177,Rose,1,390,705
aa178,Rose,2,330,483
aa179,Rose,1,900,862
aa180,Rose,2,350,848
aa181,Rose,1,580,34
aa182,Rose,1,850,643
aa183,Rose,1,310,703
aa184,Rose,2,370,336
aa185,Rose,1,20,117
aa186,Rose,2,430,771
aa187,Rose,1,320,771
aa188,Rose,2,760,20
aa189,Rose,1,550,572
aa190,Rose,1,500,707
aa191,Rose,2,840,796
aa192,Rose,2,700,388
aa193,Rose,2,710,155
aa194,Rose,2,400,319
aa195,Rose,1,450,296
aa196,Rose,1,320,434
aa197,Rose,1,140,338
aa198,Rose,2,930,840
aa199,Rose,2,250,179
aa200,Rose,1,280,539
aa201,Rose,1,210,750
aa202,Rose,1,720,693
aa203,Rose,2,670,525
aa204,Rose,2,990,643
aa205,Rose,1,100,897
aa206,Rose,1,280,909
aa207,Rose,2,380,437
aa208,Rose,1,120,265
aa209,Rose,1,380,253
aa210,Rose,2,70,617
aa211,Rose,2,270,905
aa212,Rose,1,30,378
aa213,Rose,1,90,364
aa214,Rose,1,850,340
aa215,Rose,2,430,366
aa216,Rose,1,820,998
aa217,Rose,2,120,519
aa218,Rose,2,610,262
aa219,Rose,2,180,729
aa220,Rose,1,330,935
aa221,Rose,1,520,684
aa222,Rose,1,670,348
aa223,Rose,2,470,359
aa224,Rose,2,280,902
aa225,Rose,1,80,400
aa226,Rose,2,30,954
aa227,Rose,1,680,60
aa228,Rose,1,80,810
aa229,Rose,1,480,166
aa230,Rose,2,520,95
aa231,Rose,2,220,715
aa232,Rose,1,710,976
aa233,Rose,1,550,659
aa234,Rose,1,940,80
aa235,Rose,2,910,175
aa236,Rose,1,680,458
aa237,Rose,2,800,187
aa238,Rose,2,120,874
aa239,Rose,2,330,488
aa240,Rose,2,360,834
aa241,Rose,2,540,206
aa242,Rose,1,810,108
aa243,Rose,1,580,526
aa244,Rose,2,950,233
aa245,Rose,1,860,807
aa246,Rose,2,100,75
aa247,Rose,2,470,715
aa248,Rose,2,50,109
aa249,Rose,1,950,205
aa250,Rose,2,130,274
aa251,Rose,2,710,698
aa252,Rose,2,560,494
aa253,Rose,2,550,91
aa254,Rose,2,910,472
aa255,Rose,2,270,561
aa256,Rose,2,150,233
aa257,Rose,1,850,227
aa258,Rose,1,170,13
aa259,Rose,1,620,191
aa260,Rose,2,920,479
aa261,Rose,2,210,607
aa262,Rose,1,60,500
aa263,Rose,1,560,912
aa264,Rose,1,850,144
aa265,Rose,2,160,120
aa266,Rose,2,110,907
aa267,Rose,2,510,298
aa268,Rose,2,70,315
aa269,Rose,1,880,467
aa270,Rose,2,580,305
aa271,Rose,1,430,96
aa272,Rose,1,20,197
aa273,Rose,1,900,460
aa274,Rose,2,540,201
aa275,Rose,1,370,623
aa276,Rose,2,970,587
aa277,Rose,2,580,660
aa278,Rose,2,840,348
aa279,Rose,2,640,109
aa280,Rose,1,580,345
